level(2),DependencyConflict,0x_contract_wrappers,2.0.0,eth_typing,3.6.5,eth_typing[Unknown]<--web3[web3#5.31.4]<--0x_contract_wrappers[0x_contract_wrappers#2.0.0]<--#eth_typing[eth_typing#3.2.0]<--0x_order_utils[0x_order_utils#4.0.1]<--0x_contract_wrappers[0x_contract_wrappers#2.0.0]<--
level(2),DependencyConflict,0x_order_utils,4.0.1,eth_typing,3.6.5,eth_typing[Unknown]<--web3[web3#5.31.4]<--0x_order_utils[0x_order_utils#4.0.1]<--#eth_typing[eth_typing#3.2.0]<--0x_order_utils[0x_order_utils#4.0.1]<--
level(2),DependencyConflict,adafruit_circuitpython_ads1x15,2.2.22,adafruit_blinka,3.6.5,adafruit_blinka[Unknown]<--adafruit_circuitpython_busdevice[adafruit_circuitpython_busdevice#5.2.6]<--adafruit_circuitpython_ads1x15[adafruit_circuitpython_ads1x15#2.2.22]<--#adafruit_blinka[adafruit_blinka#6.15.0]<--adafruit_circuitpython_ads1x15[adafruit_circuitpython_ads1x15#2.2.22]<--
level(1),CanNotFind,adafruit_circuitpython_ads1x15,2.2.22,typing_extensions,3.5.2,typing_extensions[Unknown]<--adafruit_circuitpython_ads1x15[adafruit_circuitpython_ads1x15#2.2.22]<--
level(1),CanNotFind,adafruit_circuitpython_ads1x15,2.2.22,typing_extensions,3.4.4,typing_extensions[Unknown]<--adafruit_circuitpython_ads1x15[adafruit_circuitpython_ads1x15#2.2.22]<--
level(1),CanNotFind,adafruit_circuitpython_ads1x15,2.2.22,adafruit_blinka,3.3.5,adafruit_blinka[Unknown]<--adafruit_circuitpython_ads1x15[adafruit_circuitpython_ads1x15#2.2.22]<--
level(1),CanNotFind,adafruit_circuitpython_ads1x15,2.2.22,adafruit_blinka,2.7.2,adafruit_blinka[Unknown]<--adafruit_circuitpython_ads1x15[adafruit_circuitpython_ads1x15#2.2.22]<--
level(2),DependencyConflict,adafruit_circuitpython_bitmap_font,2.0.1,adafruit_blinka,3.6.5,adafruit_blinka[Unknown]<--adafruit_blinka_displayio[adafruit_blinka_displayio#0.10.4]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--#adafruit_blinka[adafruit_blinka#6.15.0]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--
level(2),DependencyConflict,adafruit_circuitpython_bitmap_font,2.0.1,adafruit_blinka,3.5.2,adafruit_blinka[Unknown]<--adafruit_blinka_displayio[adafruit_blinka_displayio#0.10.4]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--#adafruit_blinka[adafruit_blinka#5.13.1]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--
level(2),DependencyConflict,adafruit_circuitpython_bitmap_font,2.0.1,adafruit_blinka,3.4.4,adafruit_blinka[Unknown]<--adafruit_blinka_displayio[adafruit_blinka_displayio#0.10.4]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--#adafruit_blinka[adafruit_blinka#4.5.0]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--
level(1),CanNotFind,adafruit_circuitpython_bitmap_font,2.0.1,adafruit_blinka,3.3.5,adafruit_blinka[Unknown]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--
level(1),CanNotFind,adafruit_circuitpython_bitmap_font,2.0.1,adafruit_blinka,2.7.2,adafruit_blinka[Unknown]<--adafruit_circuitpython_bitmap_font[adafruit_circuitpython_bitmap_font#2.0.1]<--
level(3),DependencyConflict,adafruit_circuitpython_ble,10.0.3,typing_extensions,3.7.2,typing_extensions[Unknown]<--bleak[bleak#0.20.2]<--adafruit_blinka_bleio[adafruit_blinka_bleio#4.1.0]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--#typing_extensions[typing_extensions#4.0.1]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--
level(3),DependencyConflict,adafruit_circuitpython_ble,10.0.3,typing_extensions,3.6.5,typing_extensions[Unknown]<--bleak[bleak#0.16.0]<--adafruit_blinka_bleio[adafruit_blinka_bleio#4.1.0]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--#typing_extensions[typing_extensions#4.0.1]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--
level(1),CanNotFind,adafruit_circuitpython_ble,10.0.3,typing_extensions,3.5.2,typing_extensions[Unknown]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--
level(1),CanNotFind,adafruit_circuitpython_ble,10.0.3,typing_extensions,3.4.4,typing_extensions[Unknown]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--
level(1),CanNotFind,adafruit_circuitpython_ble,10.0.3,adafruit_blinka,3.3.5,adafruit_blinka[Unknown]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--
level(1),CanNotFind,adafruit_circuitpython_ble,10.0.3,adafruit_blinka,2.7.2,adafruit_blinka[Unknown]<--adafruit_circuitpython_ble[adafruit_circuitpython_ble#10.0.3]<--
level(2),DependencyConflict,adafruit_circuitpython_bme280,2.6.22,adafruit_blinka,3.6.5,adafruit_blinka[Unknown]<--adafruit_circuitpython_busdevice[adafruit_circuitpython_busdevice#5.2.6]<--adafruit_circuitpython_bme280[adafruit_circuitpython_bme280#2.6.22]<--#adafruit_blinka[adafruit_blinka#6.15.0]<--adafruit_circuitpython_bme280[adafruit_circuitpython_bme280#2.6.22]<--
level(2),DependencyConflict,adafruit_circuitpython_bme280,2.6.22,adafruit_blinka,3.5.2,adafruit_blinka[Unknown]<--adafruit_circuitpython_busdevice[adafruit_circuitpython_busdevice#5.2.6]<--adafruit_circuitpython_bme280[adafruit_circuitpython_bme280#2.6.22]<--#adafruit_blinka[adafruit_blinka#5.13.1]<--adafruit_circuitpython_bme280[adafruit_circuitpython_bme280#2.6.22]<--
