PkgName,PkgVer,PythonVer,Result
mkdocs-material,8.5.11,3.9.2,Consistent
sphinx-js,3.1.2,3.9.2,Consistent
check50,3.3.7,3.8.2,Consistent
pyqt5-tools,5.15.4.3.2,3.8.2,Consistent
prospector,1.8.2,3.9.2,Consistent
autogluon,0.6.0,3.9.2,Consistent
allennlp-models,2.10.1,3.8.2,Consistent
mkdocs-rokubun,5.5.12,3.8.2,Consistent
snet.sdk,3.0.1,3.7.2,Inconsistent
0x-order-utils,4.0.1,3.10.4,Consistent
odoo12-addon-l10n-it-fatturapa,12.0.3.0.3,3.6.5,Consistent
odoo12-addon-project-timesheet-time-control,12.0.2.1.1,3.6.5,Consistent
odoo13-addon-sale-order-secondary-unit,13.0.1.3.0,3.6.5,Consistent
odoo13-addon-edi-voxel,13.0.1.0.2,3.6.5,Consistent
odoo12-addon-mis-builder,12.0.3.7.7,3.6.5,Consistent
apache-airflow-backport-providers-apache-hive,2021.3.3,3.7.2,Consistent
apache-airflow-backport-providers-apache-hive,2021.3.3,3.8.2,Consistent
connexion2,2.10.0,3.6.5,Consistent
pyqt5-tools,5.15.4.3.2,3.6.5,Consistent
swaglyrics,1.2.2,3.6.5,Consistent
exhale,0.3.6,3.9.2,Consistent
nnabla-converter,1.31.0,3.8.2,Consistent
dlhub-sdk,1.1.1,3.10.4,Consistent
lcdp-connexion,2.9.4,3.8.2,Consistent
pipenv-setup,3.2.0,3.8.2,Consistent
mkdocs-rokubun,5.5.12,3.7.2,Consistent
check50,3.3.7,3.9.2,Consistent
connexion2,2.10.0,3.9.2,Consistent
submit50,3.1.1,3.9.2,Consistent
exhale,0.3.6,3.7.2,Consistent
etk,2.2.8,3.8.2,Consistent
dlhub-sdk,1.1.1,3.8.2,Consistent
submit50,3.1.1,3.10.4,Consistent
odoo14-addon-base-exception,14.0.2.1.0,3.6.5,Consistent
odoo11-addon-account-payment-partner,11.0.1.4.0,3.10.4,Consistent
odoo13-addon-web-widget-x2many-2d-matrix,13.0.1.1.1,3.6.5,Consistent
odoo11-addon-contract,11.0.2.1.0,3.7.2,Consistent
odoo14-addon-fieldservice-account,14.0.1.2.2,3.6.5,Consistent
odoo13-addon-rma,13.0.2.7.1,3.6.5,Consistent
odoo12-addon-l10n-it-corrispettivi,12.0.1.1.8,3.6.5,Consistent
odoo13-addon-partner-firstname,13.0.1.0.2,3.6.5,Consistent
odoo12-addon-agreement,12.0.1.2.0,3.6.5,Consistent
check50,3.3.7,3.6.5,CompileError
quantaxis,1.10.19,3.9.2,CompileError
django-admin-interface,0.23.0,3.6.5,Consistent
just,0.8.155,3.9.2,Consistent
musco-pytorch,1.0.6,3.10.4,CompileError
0x-contract-wrappers,2.0.0,3.10.4,Consistent
raiden-contracts,0.50.2,3.10.4,Consistent
androguard,3.3.5,3.10.4,Inconsistent
opentelemetry-exporter-zipkin,1.14.0,3.8.2,Inconsistent
ccxt-1-55-84,1.55.84,3.8.2,CompileError
raiden-contracts,0.50.2,3.9.2,Consistent
textacy,0.12.0,3.8.2,Inconsistent
0x-contract-wrappers,2.0.0,3.9.2,Consistent
gradio,3.12.0,3.10.4,Consistent
opal-azure-cli-batchai,0.4.12,3.7.2,CompileError
Ciphey,5.14.0,3.7.2,Inconsistent
intel-scipy,1.7.3,3.10.4,Inconsistent
sample-factory,2.0.2,3.8.2,CompileError
tsam,2.2.2,3.8.2,Inconsistent
scm-git,1.2.4,3.7.2,Consistent
scm-git,1.2.4,3.6.5,Consistent
