,name,Dependts,Latest_time,Deps,Vers,Oldest_time,lifetime,Month
0,0x-contract-addresses,7,2019/12/3,14,9,2019/1/9,1,10.93333333
1,0x-contract-artifacts,5,2019/12/3,14,5,2019/1/9,1,10.93333333
2,0x-contract-wrappers,6,2019/12/3,22,19,2019/8/8,1,3.9
3,0x-json-schemas,4,2019/12/3,19,8,2019/1/9,1,10.93333333
4,0x-order-utils,5,2021/4/22,23,19,2018/10/25,4,30.33333333
5,123,0,2022/5/11,0,1,2022/5/11,1,0
6,21cmFAST,4,2022/7/13,0,22,2020/7/17,3,24.2
7,2captcha-python,8,2022/11/3,1,10,2020/7/7,3,28.3
8,aaargh,8,2014/3/13,0,8,2012/5/17,3,22.16666667
9,aacgmv2,8,2016/11/3,6,24,2015/10/7,2,13.1
10,about-time,17,2022/12/21,0,18,2018/8/21,5,52.76666667
11,aboutcode-toolkit,18,2022/5/10,18,27,2017/11/14,6,54.6
12,abridge,0,2019/8/20,4,5,2019/8/16,1,0.133333333
13,absl-py,631,2023/1/11,0,41,2017/9/26,7,64.43333333
14,accelerate,212,2022/6/15,52,32,2020/10/30,3,19.76666667
15,AccessControl,33,2023/1/12,0,61,2010/6/20,14,152.9666667
16,accountant,0,2021/1/13,3,46,2020/4/6,2,9.4
17,acme,117,2022/7/6,12,124,2015/12/2,8,80.26666667
18,acme-tiny,7,2021/9/11,0,11,2016/4/24,6,65.53333333
19,Acquisition,41,2022/11/17,0,48,2010/6/18,13,151.1666667
20,acrawriter,0,2021/11/25,0,4,2018/5/11,4,43.13333333
21,act-atmos,4,2023/1/5,0,58,2019/8/14,5,41.33333333
22,actdiag,4,2015/1/1,10,31,2011/4/9,5,45.43333333
23,Active-Alchemy,5,2019/11/12,7,8,2015/6/14,5,53.73333333
24,adafruit-ampy,10,2021/2/13,3,13,2016/8/19,6,54.63333333
25,Adafruit-Blinka,440,2023/1/31,4,231,2018/6/28,6,55.93333333
26,adafruit-circuitpython-ads1x15,9,2022/9/7,3,37,2018/7/2,5,50.93333333
27,adafruit-circuitpython-bitmap-font,11,2022/8/26,2,37,2019/2/23,4,42.66666667
28,adafruit-circuitpython-ble,18,2022/11/15,4,56,2020/1/13,3,34.56666667
29,adafruit-circuitpython-bme280,5,2022/11/28,2,43,2018/6/30,5,53.73333333
30,adafruit-circuitpython-bmp280,4,2022/11/28,3,28,2018/8/2,5,52.63333333
31,adafruit-circuitpython-dht,14,2022/11/15,1,37,2018/8/3,5,52.16666667
32,adafruit-circuitpython-display-text,14,2023/1/11,3,77,2021/2/11,3,23.3
33,adafruit-circuitpython-dotstar,2,2022/8/26,3,26,2018/8/3,5,49.46666667
34,adafruit-circuitpython-esp32spi,9,2022/8/26,6,78,2019/2/12,4,43.03333333
35,adafruit-circuitpython-framebuf,11,2022/12/19,1,33,2018/12/23,5,48.56666667
36,adafruit-circuitpython-ina219,4,2022/11/28,3,30,2018/8/3,5,52.6
37,adafruit-circuitpython-lis3dh,5,2023/1/20,2,32,2018/8/3,6,54.36666667
38,adafruit-circuitpython-mcp230xx,4,2022/8/26,2,34,2018/8/6,5,49.36666667
39,adafruit-circuitpython-minimqtt,7,2023/1/16,1,65,2020/1/24,4,36.26666667
40,adafruit-circuitpython-neopixel,22,2023/1/20,2,33,2018/8/3,6,54.36666667
41,adafruit-circuitpython-pca9685,8,2023/1/15,3,26,2018/8/4,6,54.16666667
42,adafruit-circuitpython-pixelbuf,7,2022/12/13,1,12,2021/7/16,2,17.16666667
43,adafruit-circuitpython-portalbase,5,2023/1/16,10,55,2020/12/7,4,25.66666667
44,adafruit-circuitpython-register,88,2022/12/6,4,32,2017/1/9,6,71.9
45,adafruit-circuitpython-requests,14,2023/1/9,1,60,2020/1/17,4,36.26666667
46,adafruit-circuitpython-seesaw,5,2022/11/28,3,58,2018/6/29,5,53.76666667
47,adafruit-circuitpython-servokit,2,2022/8/26,5,23,2018/12/19,5,44.86666667
48,adafruit-circuitpython-simpleio,6,2022/11/15,1,26,2018/8/9,5,51.96666667
49,adafruit-circuitpython-ssd1306,7,2022/11/28,3,43,2018/8/7,5,52.46666667
50,adafruit-circuitpython-typing,37,2022/12/5,4,23,2022/2/15,1,9.766666667
51,Adafruit-DHT,9,2018/11/7,0,4,2018/7/26,1,3.466666667
52,Adafruit-GPIO,20,2017/6/6,0,3,2016/4/20,2,13.73333333
53,Adafruit-PCA9685,11,2016/10/19,0,2,2016/4/20,1,6.066666667
54,Adafruit-PureIO,15,2021/6/14,0,17,2016/4/20,6,62.7
55,Adafruit-SSD1306,3,2018/5/30,0,3,2016/4/14,3,25.86666667
56,Adafruit_Python_DHT,2,2018/11/7,0,7,2015/11/20,4,36.1
57,adal,104,2021/4/5,0,27,2015/10/8,7,66.86666667
58,adapt-parser,4,2021/9/29,1,22,2016/6/13,6,64.46666667
59,adb,6,2018/5/31,2,3,2015/6/8,4,36.26666667
60,adb-shell,5,2022/6/7,5,30,2019/9/22,4,32.96666667
61,adbutils,20,2022/6/22,6,87,2019/3/19,4,39.7
62,add-package,0,2021/12/7,0,6,2021/11/30,1,0.233333333
63,add-trailing-comma,13,2022/12/12,1,38,2017/7/10,6,66.03333333
64,addict,185,2020/11/21,0,31,2014/12/12,7,72.36666667
65,adjustText,96,2020/6/30,0,17,2016/1/13,5,54.33333333
66,adlfs,54,2022/4/15,10,74,2019/8/11,4,32.6
67,advent-of-code-data,4,2022/6/21,9,45,2016/12/4,7,67.5
68,adversarial-robustness-toolbox,7,2023/6/30,95,52,2018/4/25,6,63.06666667
69,Adyen,4,2022/9/30,0,21,2017/4/11,6,66.6
70,aeidon,7,2023/1/21,1,9,2017/9/17,7,65.06666667
71,aenum,266,2022/4/16,0,51,2015/12/11,8,77.26666667
72,aes-everywhere,6,2020/10/20,1,7,2019/9/15,2,13.36666667
73,aesara,13,2023/1/24,9,72,2020/11/7,4,26.93333333
74,affine,89,2014/11/13,5,17,2014/5/28,1,5.633333333
75,agate,20,2021/7/15,15,29,2015/8/28,7,71.6
76,aggdraw,7,2022/6/27,0,19,2017/12/21,6,54.96666667
77,ai2thor,3,2022/12/13,12,113,2017/12/14,6,60.83333333
78,aib-custom-logger-tst,0,2022/12/4,1,4,2022/12/1,1,0.1
79,aicsimageio,34,2023/5/5,104,66,2018/11/4,6,54.76666667
80,aiida-core,48,2020/12/7,81,76,2017/3/22,4,45.2
81,aiida-quantumespresso,10,2023/4/27,24,27,2017/10/24,7,67.03333333
82,aio-pika,157,2022/9/19,4,193,2016/9/28,7,72.73333333
83,aio.core,15,2022/7/10,4,39,2015/5/17,8,87.03333333
84,aioamqp,37,2022/4/5,1,21,2014/5/19,9,95.93333333
85,aioboto3,66,2022/5/6,3,56,2017/9/27,6,56.06666667
86,aiobotocore,133,2022/6/8,6,77,2016/7/1,7,72.26666667
87,aiocache,55,2017/7/23,3,43,2016/10/2,2,9.8
88,aiocoap,13,2021/11/25,29,18,2014/8/14,8,88.66666667
89,aioconsole,80,2022/8/30,0,27,2016/8/19,7,73.4
90,aiocontextvars,51,2019/4/8,1,6,2017/12/3,3,16.36666667
91,aiocqhttp,3,2022/4/28,0,31,2018/5/29,5,47.66666667
92,aiocsv,13,2022/4/16,0,9,2020/7/31,3,20.8
93,aiodataloader,9,2022/1/24,10,7,2017/6/12,6,56.23333333
94,aiodns,355,2021/5/14,1,15,2014/3/27,8,86.83333333
95,aiodocker,37,2021/7/23,2,38,2014/4/6,8,88.83333333
96,aiofile,90,2022/8/8,6,42,2018/2/6,5,54.8
97,aiofiles,1094,2023/2/9,0,12,2015/4/6,9,95.53333333
98,aioftp,14,2022/4/21,7,46,2015/4/24,8,85.13333333
99,aiogoogle,7,2022/6/9,10,62,2018/12/11,5,42.53333333
100,aiogram,79,2022/6/21,7,84,2017/6/3,6,61.46666667
101,aiohttp,6507,2021/11/14,13,221,2013/10/25,9,98.06666667
102,aiohttp-apispec,9,2022/3/1,0,59,2017/12/6,6,51.53333333
103,aiohttp-devtools,15,2021/12/31,5,36,2016/9/22,6,64.2
104,aiohttp-jinja2,67,2021/8/21,3,34,2020/10/29,2,9.866666667
105,aiohttp-remotes,13,2021/12/15,2,10,2017/11/16,5,49.66666667
106,aiohttp-retry,32,2022/8/11,1,33,2020/1/6,3,31.6
107,aiohttp-session,26,2015/4/20,7,31,2015/4/1,1,0.633333333
108,aiohttp-socks,58,2021/11/23,2,36,2018/7/4,4,41.26666667
109,aiohttp-sse,13,2021/11/13,1,8,2017/1/13,5,58.83333333
110,aiohttp-swagger,16,2021/10/22,4,17,2016/10/25,6,60.76666667
111,aiohttp-xmlrpc,8,2022/1/11,5,31,2016/9/3,7,65.2
112,aiohttp_cors,110,2017/4/21,2,10,2015/11/5,3,17.76666667
113,aiohttp_security,5,2017/9/18,2,6,2016/1/18,2,20.3
114,aiohue,1,2023/1/9,3,59,2018/3/2,6,59.13333333
115,aioice,4,2023/1/30,2,46,2018/2/4,6,60.7
116,aioimaplib,5,2022/9/20,0,42,2016/7/5,7,75.6
117,aioinflux,6,2017/11/10,20,19,2017/10/4,1,1.233333333
118,aiojobs,38,2021/11/9,2,11,2017/7/1,5,53.06666667
119,aiokafka,71,2021/9/2,11,26,2016/4/11,6,65.66666667
120,aiolimiter,30,2021/10/15,1,4,2019/12/1,3,22.8
121,aioloop-proxy,0,2022/1/28,1,7,2022/1/2,1,0.866666667
122,aiomcache,21,2022/1/20,1,12,2014/6/18,9,92.43333333
123,aiomisc,33,2022/6/14,10,228,2018/4/13,5,50.76666667
124,aiomonitor,10,2019/11/4,2,15,2016/12/9,4,35.33333333
125,aiomqtt,4,2021/5/22,2,6,2017/7/13,5,46.96666667
126,aiomultiprocess,18,2021/3/1,0,10,2018/4/8,4,35.26666667
127,aiomysql,166,2022/5/8,3,26,2015/2/17,8,87.9
128,aioodbc,4,2019/7/6,1,11,2015/10/12,5,45.43333333
129,aiopg,65,2022/6/30,3,58,2014/4/6,9,100.2333333
130,aioprocessing,12,2021/6/5,1,8,2014/9/20,8,81.66666667
131,aioprometheus,7,2022/5/24,5,26,2016/6/20,7,72.13333333
132,aioquic,13,2022/2/3,4,37,2019/6/8,4,32.36666667
133,aioredis,445,2021/12/27,3,34,2014/6/12,8,91.83333333
134,aioresponses,69,2022/12/14,1,24,2016/11/3,7,74.4
135,aiormq,21,2022/12/15,3,105,2019/1/8,4,47.9
136,aiorun,32,2023/7/5,2,28,2017/10/20,7,69.46666667
137,aiosignal,116,2022/11/8,1,8,2019/8/28,4,38.93333333
138,aiosmb,6,2022/12/6,10,62,2019/9/7,4,39.53333333
139,aiosmtpd,36,2021/3/4,3,24,2017/5/13,5,46.36666667
140,aiosmtplib,61,2021/4/13,5,28,2016/4/19,6,60.66666667
141,aiosocks,8,2017/11/20,0,12,2016/5/7,2,18.73333333
142,aiosql,8,2023/1/9,2,29,2018/12/1,6,50
143,aiosqlite,288,2021/2/22,13,24,2017/5/25,5,45.63333333
144,aiostream,56,2021/12/14,1,17,2016/11/2,6,62.26666667
145,aiotg,2,2019/1/12,2,46,2015/8/25,5,41.2
146,aiounittest,39,2022/6/13,1,9,2017/8/17,6,58.7
147,aioworkers,11,2022/2/4,27,110,2016/11/13,7,63.63333333
148,aioxmpp,13,2022/3/7,0,31,2015/10/29,8,77.36666667
149,aiozipkin,10,2021/10/23,1,24,2018/1/10,4,46.06666667
150,aiozk,4,2022/7/4,0,42,2016/8/30,7,71.13333333
151,airsim,2,2022/9/20,0,14,2018/6/19,5,51.8
152,airspeed,10,2022/8/31,0,28,2010/10/1,13,145.0666667
153,airtest,17,2022/9/29,0,52,2018/1/24,5,56.96666667
154,ais-dom,0,2022/12/12,27,615,2018/5/28,5,55.3
155,aistore,0,2022/6/23,10,26,2021/9/23,2,9.1
156,aizynthfinder,0,2023/6/1,22,2,2022/11/28,2,6.166666667
157,akshare,23,2022/7/6,14,1898,2019/1/15,4,42.26666667
158,alabaster,264,2023/1/13,0,26,2014/1/10,10,109.6666667
159,albumentations,223,2022/6/15,10,53,2018/8/9,5,46.86666667
160,alchy,8,2017/1/4,2,41,2014/2/1,4,35.6
161,aldjemy,3,2021/10/27,1,36,2011/9/6,11,123.4666667
