PkgName,PkgVer,PythonVer
odoo14-addon-base-exception,14.0.2.1.0,3.6.5
intel-scipy,1.7.3,3.10.4
odoo11-addon-account-payment-partner,11.0.1.4.0,3.10.4
odoo13-addon-web-widget-x2many-2d-matrix,13.0.1.1.1,3.6.5
odoo12-addon-l10n-it-fatturapa,12.0.3.0.3,3.6.5
odoo11-addon-contract,11.0.2.1.0,3.7.2
odoo12-addon-project-timesheet-time-control,12.0.2.1.1,3.6.5
sample-factory,2.0.2,3.8.2
odoo13-addon-sale-order-secondary-unit,13.0.1.3.0,3.6.5
tsam,2.2.2,3.8.2
scm-git,1.2.4,3.7.2
scm-git,1.2.4,3.6.5
odoo13-addon-edi-voxel,13.0.1.0.2,3.6.5
odoo14-addon-fieldservice-account,14.0.1.2.2,3.6.5
odoo13-addon-rma,13.0.2.7.1,3.6.5
odoo12-addon-mis-builder,12.0.3.7.7,3.6.5
odoo12-addon-l10n-it-corrispettivi,12.0.1.1.8,3.6.5
apache-airflow-backport-providers-apache-hive,2021.3.3,3.7.2
Ciphey,5.14.0,3.9.2
odoo13-addon-partner-firstname,13.0.1.0.2,3.6.5
odoo12-addon-agreement,12.0.1.2.0,3.6.5
quantaxis,1.10.19,3.9.2
apache-airflow-backport-providers-apache-hive,2021.3.3,3.8.2
check50,3.3.7,3.6.5
django-admin-interface,0.23.0,3.6.5
just,0.8.155,3.9.2
musco-pytorch,1.0.6,3.10.4
0x-contract-wrappers,2.0.0,3.10.4
0x-contract-wrappers,2.0.0,3.7.2
0x-order-utils,4.0.1,3.8.2
aiida-core,2.1.2,3.9.2
androguard,3.3.5,3.10.4
connexion2,2.10.0,3.6.5
fairseq,0.12.2,3.6.5
Flask-Assistant,0.5.4,3.6.5
openmetadata-sqlalchemy-bigquery,1.2.0,3.6.5
pyqt5-tools,5.15.4.3.2,3.6.5
swaglyrics,1.2.2,3.6.5
Ciphey,5.14.0,3.8.2
collective.cover,2.2.3,3.7.2
memorious,2.5.0,3.10.4
mkdocs-rokubun,5.5.12,3.8.2
opentelemetry-exporter-otlp,1.14.0,3.7.2
exhale,0.3.6,3.9.2
nnabla-converter,1.31.0,3.8.2
dlhub-sdk,1.1.1,3.10.4
lcdp-connexion,2.9.4,3.8.2
aiida-core,2.1.2,3.10.4
textacy,0.12.0,3.8.2
pipenv-setup,3.2.0,3.8.2
pipenv-setup,3.2.0,3.10.4
mkdocs-rokubun,5.5.12,3.7.2
check50,3.3.7,3.9.2
snet.sdk,3.0.1,3.10.4
connexion2,2.10.0,3.9.2
pyqt5-tools,5.15.4.3.2,3.7.2
sqlfluff-templater-dbt,1.4.2,3.9.2
ccxt-1-55-84,1.55.84,3.9.2
swaglyrics,1.2.2,3.7.2
dlhub-sdk,1.1.1,3.9.2
spylunking,1.2.10,3.8.2
raiden-contracts,0.50.2,3.10.4
nnabla-converter,1.31.0,3.9.2
aws-sam-cli,1.66.0,3.7.2
opentelemetry-exporter-zipkin,1.14.0,3.8.2
ccxt-1-55-84,1.55.84,3.8.2
raiden-contracts,0.50.2,3.9.2
opentelemetry-exporter-zipkin,1.14.0,3.10.4
0x-contract-wrappers,2.0.0,3.9.2
connexion2,2.10.0,3.8.2
gradio,3.12.0,3.10.4
ccxt-1-55-84,1.55.84,3.7.2
autogluon,0.6.0,3.9.2
check50,3.3.7,3.8.2
opal-azure-cli-batchai,0.4.12,3.7.2
submit50,3.1.1,3.9.2
Ciphey,5.14.0,3.7.2
exhale,0.3.6,3.7.2
raiden-contracts,0.50.2,3.8.2
etk,2.2.8,3.8.2
autoviz,0.1.58,3.9.2
aws-sam-cli,1.66.0,3.8.2
dlhub-sdk,1.1.1,3.8.2
submit50,3.1.1,3.10.4
0x-order-utils,4.0.1,3.10.4
snet.sdk,3.0.1,3.7.2
allennlp-models,2.10.1,3.8.2
prospector,1.8.2,3.9.2
pyqt5-tools,5.15.4.3.2,3.8.2
sphinx-js,3.1.2,3.9.2
mkdocs-material,8.5.11,3.9.2
adafruit-circuitpython-register,1.9.14,3.5.2
opal-azure-cli-cosmosdb,0.2.15,3.5.2
depthai-sdk,1.9.0,3.5.2
silx,1.1.1,3.5.2
vaex-hdf5,0.14.1,3.5.2
dagster-pagerduty,2019.6.2,3.5.2
azure-cli-component,2.0.8,3.5.2
wagtail-metadata,4.0.2,3.5.2
tntorch,1.1.1,3.5.2
dagster-msteams,1.0.5,3.5.2
sigopt_sklearn,2.2.0,3.5.2
azure-mgmt-maps,2.0.0,3.5.2
yellowbrick,1.5,3.5.2
octohatrack,1.1.0,3.5.2
pylint-odoo,8.0.17,3.5.2
spylunking,1.2.10,3.5.2
mkdocs-rokubun,5.5.12,3.5.2
neoml,2.0.92,3.5.2
uszipcode,1.0.1,3.5.2
ipycytoscape,1.3.3,3.5.2
saliency,0.2.0,3.5.2
stumpy,1.11.1,3.5.2
etk,2.2.8,3.5.2
djangocms-cascade,2.3.14,3.5.2
category-encoders,2.5.1,3.5.2
adafruit-circuitpython-bme280,2.6.19,3.5.2
django-prices,2.3.0,3.5.2
