PkgName,PkgVer,PythonVer
face_alignment,1.4.0,3.6.5
retina_face,0.0.13,3.7.2
indic_nlp_library,0.81,3.8.2
one_api,2.1.0,3.8.2
cloud_volume,8.24.2,3.9.2
deeppavlov,1.2.0,3.10.4
hyperspy,1.7.5,3.6.5
quilt3,5.3.1,3.9.2
pypot,5.0.2,3.6.5
scar,4.3.1,3.9.2
brax,0.9.1,3.6.5
apache_airflow_backport_providers_apache_beam,2021.3.13,3.8.2
fastq2folder,1.0.6,3.7.2
pyupio,1.1.2,3.8.2
grafana_backup,1.3.0,3.9.2
blueqat,2.0.4,3.9.2
stardist,0.8.3,3.6.5
dedupe,2.0.23,3.8.2
ccxt_1_56_19,1.56.19,3.10.4
kaggle_environments,1.13.0,3.8.2
jupyterlab_lsp,4.2.0,3.9.2
pipenv_setup,3.2.0,3.7.2
ppvideo,2.3.1,3.10.4
firebase_admin,6.2.0,3.9.2
arm_pyart,1.15.2,3.9.2
pymc3,3.11.5,3.8.2
conda_lock,2.1.1,3.9.2
neural_compressor,2.1.1,3.6.5
tf_agents,0.17.0,3.7.2
opentelemetry_exporter_gcp_trace,1.5.0,3.8.2
alpaca_trade_api,3.0.2,3.8.2
shed,2023.6.1,3.7.2
ccxt_1_56_19,1.56.19,3.7.2
atman_connexion,2.1.1,3.7.2
autogluon,0.8.2,3.10.4
odoo13_addon_queue_job,13.0.3.11.1,3.8.2
sahi,0.11.14,3.6.5
azure_cli_appservice,0.2.21,3.7.2
requests_html,0.10.0,3.10.4
scipion_em_tomo,3.1.9,3.9.2
dbt_bigquery,1.5.3,3.8.2
noisereduce,2.0.1,3.9.2
asone_ocr,1.0.0,3.6.5
rembg,2.0.50,3.9.2
lookatme,2.5.5,3.6.5
deeppavlov,1.2.0,3.9.2
odoo11_addon_account_banking_mandate,11.0.2.0.1,3.10.4
sphinx_markdown_tables,0.0.17,3.6.5
dlhub_sdk,2.1.0,3.8.2
mkdocs_rokubun,5.5.12,3.9.2
scar,4.3.1,3.8.2
opencensus_ext_azure,1.1.9,3.8.2
allennlp,2.10.1,3.10.4
apache_airflow_backport_providers_discord,2021.3.17,3.6.5
cachier,2.2.1,3.6.5
medcat,1.8.0,3.7.2
interpolation,2.2.4,3.9.2
pywb,2.7.4,3.8.2
azure_cli_appservice,0.2.21,3.10.4
guidance,0.0.64,3.7.2
linkml,1.5.6,3.9.2
layoutparser,0.3.4,3.6.5
google_search_api,1.1.14,3.9.2
selenium_wire,5.1.0,3.6.5
django_colorfield,0.9.0,3.6.5
adafruit_circuitpython_lis3dh,5.1.23,3.6.5
autoviz,0.1.730,3.8.2
segmentation_models,1.0.1,3.6.5
petals,1.1.5,3.9.2
jesse,0.42.2,3.8.2
odoo13_addon_queue_job,13.0.3.11.1,3.10.4
kaggle_environments,1.13.0,3.10.4
archivy,1.7.5,3.6.5
mypy_zope,1.0.0,3.6.5
odoo14_addon_shopinvader,14.0.5.21.0,3.9.2
zappa,0.57.0,3.9.2
tmh,0.0.109,3.10.4
masonite,4.6.1,3.9.2
pip_compile_multi,2.6.3,3.6.5
nwbwidgets,0.10.2,3.8.2
devpi_client,6.0.5,3.10.4
jsontableschema,0.10.1,3.10.4
performer_pytorch,1.1.4,3.6.5
apache_airflow_providers_elasticsearch,4.5.1,3.8.2
apache_airflow_backport_providers_oracle,2021.3.17,3.6.5
awslimitchecker,12.0.0,3.10.4
mkdocs_material_otf,9.1.506,3.8.2
sos_notebook,0.24.1,3.7.2
labelcloud,1.0.1,3.10.4
linkml,1.5.6,3.8.2
scann,1.2.9,3.6.5
firebase_admin,6.2.0,3.7.2
blind_watermark,0.4.4,3.6.5
face_alignment,1.4.0,3.9.2
