PkgName,PkgVer,PythonVer,Time(pip),Time(HELP_solve),Time(HELP_total)
odoo11-addon-account-payment-partner,11.0.1.4.0,3.10.4,1.192 ,0.023 ,0.023 
odoo11-addon-contract,11.0.2.1.0,3.7.2,1.124 ,0.005 ,0.005 
odoo12-addon-agreement,12.0.1.2.0,3.6.5,1.235 ,0.020 ,0.020 
odoo12-addon-l10n-it-corrispettivi,12.0.1.1.8,3.6.5,1.108 ,0.006 ,0.006 
odoo12-addon-l10n-it-fatturapa,12.0.3.0.3,3.6.5,2.136 ,0.274 ,0.274 
odoo12-addon-mis-builder,12.0.3.7.7,3.6.5,1.843 ,0.071 ,0.071 
odoo12-addon-project-timesheet-time-control,12.0.2.1.1,3.6.5,2.044 ,0.031 ,0.031 
odoo13-addon-edi-voxel,13.0.1.0.2,3.6.5,1.810 ,0.279 ,0.279 
odoo13-addon-partner-firstname,13.0.1.0.2,3.6.5,1.140 ,0.029 ,0.029 
odoo13-addon-rma,13.0.2.7.1,3.6.5,1.193 ,0.006 ,0.006 
odoo13-addon-sale-order-secondary-unit,13.0.1.3.0,3.6.5,1.072 ,0.021 ,0.021 
odoo13-addon-web-widget-x2many-2d-matrix,13.0.1.1.1,3.6.5,1.088 ,0.007 ,0.007 
odoo14-addon-base-exception,14.0.2.1.0,3.6.5,1.130 ,0.067 ,0.067 
odoo14-addon-fieldservice-account,14.0.1.2.2,3.6.5,1.950 ,0.029 ,0.029 
scm-git,1.2.4,3.6.5,1.592 ,0.452 ,0.452 
scm-git,1.2.4,3.7.2,0.954 ,0.791 ,0.791 
pvrhinodemo,2.2.3,3.9.2,1.124 ,0.001 ,0.001 
odoo14_addon_shopinvader,14.0.5.21.0,3.9.2,6.829 ,0.007 ,0.007 
django_colorfield,0.9.0,3.6.5,2.604 ,0.003 ,0.003 
pypykatz,0.6.8,3.6.5,2.013 ,0.001 ,0.001 
thonny_pololu,1.0.0,3.7.2,1.000 ,0.005 ,0.005 
odoo13_addon_queue_job,13.0.3.11.1,3.8.2,1.221 ,0.000 ,0.000 
pin,2.6.19,3.7.2,0.913 ,0.036 ,0.036 
tf_agents,0.17.0,3.7.2,13.486 ,0.028 ,0.028 
odoo14_addon_queue_job,14.0.3.1.0,3.6.5,1.168 ,0.000 ,0.000 
shed,2023.6.1,3.7.2,1.877 ,0.011 ,0.011 
odoo14_addon_shopinvader,14.0.5.21.0,3.7.2,2.067 ,0.046 ,0.046 
pdfcropmargins,2.0.3,3.6.5,2.656 ,0.010 ,0.010 
pandera,0.16.0,3.7.2,3.654 ,0.036 ,0.036 
xraylarch,0.9.71,3.7.2,15.870 ,0.118 ,0.118 
sahi,0.11.14,3.6.5,37.283 ,0.018 ,0.018 
mypy_zope,1.0.0,3.6.5,1.925 ,0.007 ,0.007 
odoo14_addon_queue_job,14.0.3.1.0,3.9.2,1.112 ,0.000 ,0.000 
cjio,0.8.2,3.6.5,1.128 ,0.008 ,0.008 
auto_py_to_exe,2.36.0,3.6.5,1.939 ,0.015 ,0.015 
seldon_core,1.17.0,3.6.5,1.445 ,0.048 ,0.048 
wagtail_metadata,4.0.3,3.6.5,1.209 ,0.007 ,0.007 
odoo11_addon_account_banking_mandate,11.0.2.0.1,3.10.4,1.289 ,0.002 ,0.002 
django_ical,1.9.2,3.6.5,2.089 ,0.030 ,0.030 
tfg_nightly,2023.1.11,3.7.2,0.874 ,8.630 ,8.630 
vector_quantize_pytorch,1.6.30,3.6.5,1.364 ,0.001 ,0.001 
ppvideo,2.3.1,3.10.4,27.597 ,0.027 ,0.027 
muselsl,2.2.2,3.6.5,3.468 ,0.009 ,0.009 
odoo14_addon_web_widget_x2many_2d_matrix,14.0.1.1.0,3.10.4,0.964 ,0.000 ,0.000 
odoo14_addon_queue_job,14.0.3.1.0,3.7.2,1.799 ,0.000 ,0.000 
datasaku,0.0.8,3.7.2,3.039 ,0.013 ,0.013 
objax,1.7.0,3.6.5,6.956 ,0.029 ,0.029 
stheno,1.4.1,3.6.5,1.951 ,0.011 ,0.011 
medcat,1.8.0,3.7.2,4.244 ,0.005 ,0.005 
functorch,2.0.0,3.7.2,2.036 ,0.002 ,0.002 
sos_notebook,0.24.1,3.7.2,1.435 ,0.003 ,0.003 
pyuvdata,2.4.0,3.7.2,22.405 ,0.005 ,0.005 
kaggle_environments,1.13.0,3.10.4,1.373 ,0.002 ,0.002 
odoo_addon_web_widget_x2many_2d_matrix,15.0.1.0.2,3.8.2,1.163 ,0.000 ,0.000 
odoo_addon_web_widget_x2many_2d_matrix,15.0.1.0.2,3.10.4,1.528 ,0.000 ,0.000 
cloud_volume,8.24.2,3.6.5,32.530 ,0.326 ,0.326 
odoo11_addon_account_banking_mandate,11.0.2.0.1,3.9.2,1.270 ,0.002 ,0.002 
odoo13_addon_base_custom_info,13.0.1.0.2,3.10.4,1.036 ,0.000 ,0.000 
django_admin_sortable2,2.1.8,3.6.5,1.397 ,0.013 ,0.013 
pip_compile_multi,2.6.3,3.6.5,1.762 ,0.006 ,0.006 
whatlies,0.7.0,3.6.5,1.701 ,0.003 ,0.003 
manimgl,1.6.1,3.6.5,1.014 ,0.117 ,0.117 
elastalert2,2.12.0,3.6.5,4.900 ,0.059 ,0.059 
hpp_fcl,2.3.5,3.7.2,1.122 ,0.006 ,0.006 
brax,0.9.1,3.6.5,1.845 ,0.014 ,0.014 
archivy,1.7.5,3.6.5,1.946 ,0.001 ,0.001 
pvrhinodemo,2.2.3,3.6.5,1.489 ,0.000 ,0.000 
gkeepapi,0.14.2,3.6.5,2.005 ,0.002 ,0.002 
guidance,0.0.64,3.6.5,1.844 ,0.008 ,0.008 
