PkgName,PkgVer,PythonVer,Time(pip),Time(HELP_solve),Time(HELP_install)
firebase_admin,6.2.0,3.7.2,20.821 ,6.071 ,12.993 
quilt3,5.3.1,3.8.2,14.203 ,2.334 ,18.321 
darts,0.24.0,3.10.4,387.099 ,22.802 ,242.962 
pycognito,2023.5.0,3.9.2,13.117 ,1.772 ,9.436 
atman_connexion,2.1.1,3.7.2,13.518 ,4.774 ,8.692 
requests_html,0.10.0,3.10.4,10.361 ,1.381 ,9.205 
masonite,4.6.1,3.9.2,15.519 ,1.691 ,14.742 
mkdocs_print_site_plugin,2.3.5,3.6.5,15.234 ,1.358 ,1.145 
apache_airflow_backport_providers_plexus,2021.3.17,3.6.5,77.740 ,9.719 ,49.439 
segregation,2.4.2,3.9.2,49.910 ,5.513 ,40.264 
allennlp,2.10.1,3.10.4,189.304 ,17.678 ,129.717 
indic_nlp_library,0.81,3.8.2,25.005 ,3.782 ,23.698 
allennlp_models,2.10.1,3.9.2,210.034 ,21.608 ,149.171 
hyperspy,1.7.5,3.9.2,75.236 ,13.175 ,61.765 
ccxt_1_55_84,1.55.84,3.7.2,12.230 ,1.746 ,13.452 
jedi_language_server,0.30.2,3.8.2,5.419 ,0.196 ,5.023 
cloud_volume,8.24.2,3.10.4,53.218 ,15.428 ,44.929 
deeppavlov,1.2.0,3.9.2,32.023 ,2.879 ,31.602 
pipenv_setup,3.2.0,3.8.2,14.113 ,3.932 ,10.136 
one_api,2.1.0,3.8.2,30.975 ,3.340 ,30.655 
cloud_volume,8.24.2,3.8.2,50.597 ,16.107 ,42.000 
pyupio,1.1.2,3.8.2,13.202 ,2.497 ,9.644 
rembg,2.0.50,3.9.2,39.101 ,8.822 ,35.388 
zappa,0.57.0,3.8.2,15.859 ,5.304 ,15.656 
scar,4.3.1,3.8.2,11.143 ,2.395 ,10.600 
datapackage,1.15.1,3.8.2,21.663 ,4.764 ,19.689 
apache_airflow_backport_providers_discord,2021.3.17,3.6.5,81.945 ,9.889 ,59.872 
prefect,2.10.21,3.8.2,45.985 ,7.192 ,41.009 
invenio_access,2.0.0,3.8.2,51.218 ,9.128 ,42.744 
pyomu,0.2.2,3.9.2,107.731 ,26.754 ,83.294 
salesforce_lavis,1.0.2,3.10.4,365.405 ,40.220 ,185.600 
elastalert2,2.12.0,3.9.2,45.259 ,4.314 ,44.180 
segmentation_models,1.0.1,3.6.5,24.695 ,3.012 ,16.532 
interpolation,2.2.4,3.9.2,16.128 ,0.594 ,15.611 
salesforce_lavis,1.0.2,3.8.2,312.607 ,41.938 ,181.453 
grafana_backup,1.3.0,3.9.2,21.062 ,8.023 ,16.123 
neuralcoref,4,3.8.2,77.273 ,5.337 ,70.613 
ai2thor,5.0.0,3.10.4,21.512 ,2.114 ,20.845 
rio_tiler,5.0.2,3.9.2,15.255 ,2.637 ,15.499 
allennlp,2.10.1,3.7.2,179.757 ,16.925 ,150.094 
azure_cli_appservice,0.2.21,3.10.4,27.461 ,6.600 ,19.607 
invenio,3.4.1,3.8.2,26.844 ,8.103 ,24.239 
cellpose,2.2.2,3.10.4,230.539 ,3.129 ,76.033 
stardist,0.8.3,3.6.5,28.907 ,3.528 ,21.422 
pdpbox,0.3.0,3.8.2,75.012 ,5.470 ,64.553 
deeppavlov,1.2.0,3.10.4,28.619 ,2.725 ,28.913 
botbuilder_integration_aiohttp,4.14.4,3.6.5,19.480 ,2.527 ,18.302 
requests_ip_rotator,1.0.14,3.7.2,9.302 ,1.348 ,8.605 
streamlit_drawable_canvas,0.9.3,3.10.4,44.764 ,22.436 ,34.494 
devpi_client,6.0.5,3.10.4,7.928 ,1.979 ,7.689 
deeppavlov,1.2.0,3.8.2,32.884 ,2.600 ,31.772 
labelcloud,1.0.1,3.9.2,106.014 ,29.211 ,69.820 
streamlit_drawable_canvas,0.9.3,3.8.2,36.555 ,23.886 ,44.700 
dlhub_sdk,2.1.0,3.8.2,21.711 ,4.027 ,19.003 
pywb,2.7.4,3.9.2,19.612 ,3.076 ,16.969 
myst_nb,0.17.2,3.9.2,35.175 ,10.967 ,33.966 
tabulator,1.53.5,3.9.2,17.254 ,1.619 ,16.811 
adafruit_circuitpython_lis3dh,5.1.23,3.6.5,20.237 ,0.511 ,12.214 
django_graphql_jwt,0.3.4,3.6.5,9.650 ,1.476 ,4.713 
aws_sam_cli,1.90.0,3.7.2,59.426 ,6.563 ,44.648 
invenio_app,1.4.0,3.7.2,23.186 ,6.143 ,16.183 
face_alignment,1.4.0,3.9.2,191.809 ,5.598 ,76.490 
opal_azure_cli_acs,2.4.6,3.9.2,25.932 ,4.944 ,24.669 
linkml,1.5.6,3.9.2,34.188 ,4.536 ,27.940 
mkdocs_rokubun,5.5.12,3.9.2,10.681 ,2.197 ,9.945 
pycognito,2023.5.0,3.7.2,14.421 ,1.740 ,10.218 
redshift_connector,2.0.913,3.8.2,13.345 ,2.802 ,12.276 
adafruit_circuitpython_mcp230xx,2.5.11,3.6.5,19.407 ,0.566 ,2.260 
petals,1.1.5,3.9.2,252.867 ,6.300 ,102.517 
compas_fab,0.28.0,3.6.5,55.352 ,3.878 ,51.594 
ibis_bigquery,2.2.1,3.9.2,38.864 ,9.603 ,34.045 
dagster_aws,0.19.14,3.10.4,30.016 ,4.126 ,29.069 
dwave_ocean_sdk,6.4.1,3.9.2,34.000 ,9.783 ,29.304 
arm_pyart,1.15.2,3.9.2,60.653 ,6.831 ,53.631 
azure_cli_appservice,0.2.21,3.7.2,30.017 ,6.382 ,19.986 
rio_tiler,5.0.2,3.8.2,16.517 ,2.933 ,16.246 
google_search_api,1.1.14,3.9.2,10.706 ,1.904 ,10.389 
tts,0.15.6,3.9.2,388.317 ,13.916 ,180.446 
